time_stamp	px_state	py_state	v_state	yaw_state	yaw_rate_state	sensor type	NIS
1477010456850000	-5.84833	-0.843699	5.10775	4.23835	-0.181048	1	5.18399
1477010456900000	-5.94337	-1.11527	5.1637	4.25009	-0.148631	0	1.60478
1477010456950000	-6.03052	-1.38555	5.20703	4.26468	-0.114633	1	2.92146
1477010457000000	-6.17062	-1.59059	5.17897	4.24071	-0.142169	0	0.983042
1477010457050000	-6.31782	-1.82021	5.2401	4.19954	-0.235323	1	3.59418
1477010457100000	-6.42405	-2.07232	5.26312	4.20396	-0.210743	0	0.656837
1477010457150000	-6.57655	-2.27117	5.22194	4.1799	-0.223082	1	2.93341
1477010457200000	-6.72789	-2.47939	5.20974	4.15711	-0.240677	0	0.312909
1477010457250000	-6.88558	-2.68749	5.20673	4.13291	-0.260697	1	0.913445
1477010457300000	-6.97399	-2.96457	5.25752	4.16092	-0.197673	0	2.95866
1477010457350000	-7.10174	-3.18937	5.23572	4.16187	-0.170303	1	0.340347
1477010457400000	-7.22651	-3.38423	5.19036	4.14842	-0.17954	0	1.33764
1477010457450000	-7.37144	-3.63389	5.23301	4.14943	-0.161049	1	4.51849
1477010457500000	-7.53464	-3.76616	5.12956	4.10153	-0.223786	0	4.49089
1477010457550000	-7.68072	-3.97278	5.13425	4.08781	-0.232043	1	0.439431
1477010457600000	-7.83212	-4.20582	5.16808	4.08541	-0.217224	0	0.587465
1477010457650000	-7.98289	-4.42423	5.17556	4.08008	-0.206513	1	0.42669
1477010457700000	-8.14069	-4.66736	5.22287	4.08115	-0.18814	0	1.29743
1477010457750000	-8.27599	-4.87561	5.156	4.09103	-0.137976	1	2.43477
1477010457800000	-8.40468	-5.09841	5.15861	4.09778	-0.117536	0	0.286309
1477010457850000	-8.54982	-5.26741	5.06903	4.08707	-0.110642	1	3.79049
1477010457900000	-8.74179	-5.46348	5.08807	4.0611	-0.140655	0	1.77342
1477010457950000	-8.89966	-5.66235	5.07777	4.05368	-0.137923	1	0.298201
1477010458000000	-9.0564	-5.84829	5.06201	4.04118	-0.146488	0	0.142113
1477010458050000	-9.19326	-6.0075	4.96647	4.03451	-0.135213	1	6.06912
1477010458100000	-9.37846	-6.10163	4.87304	3.97889	-0.208941	0	4.77735
1477010458150000	-9.55442	-6.28388	4.8851	3.96437	-0.214799	1	0.918808
1477010458200000	-9.68893	-6.49878	4.9022	3.98109	-0.17389	0	0.533919
1477010458250000	-9.91806	-6.65094	4.95727	3.92914	-0.2466	1	7.06213
1477010458300000	-10.1226	-6.81348	4.96786	3.90049	-0.270364	0	0.602535
1477010458350000	-10.3099	-6.97224	4.9815	3.87829	-0.286477	1	0.991889
1477010458400000	-10.5392	-7.15268	5.03444	3.85294	-0.301295	0	3.58461
1477010458450000	-10.7498	-7.28781	5.03545	3.81787	-0.332602	1	1.76463
1477010458500000	-10.9957	-7.44944	5.08577	3.78546	-0.354306	0	3.44204
1477010458550000	-11.1876	-7.58447	5.04014	3.76577	-0.356971	1	1.22887
1477010458600000	-11.3302	-7.74884	4.99641	3.77928	-0.312242	0	3.3135
1477010458650000	-11.529	-7.87066	4.96227	3.75332	-0.32774	1	1.72618
1477010458700000	-11.7082	-7.97634	4.90824	3.72952	-0.34018	0	2.96196
1477010458750000	-11.9054	-8.08309	4.82928	3.7019	-0.356525	1	1.69866
1477010458800000	-12.12	-8.17352	4.81163	3.66392	-0.38646	0	0.485163
1477010458850000	-12.3482	-8.2997	4.90031	3.6453	-0.381069	1	2.70958
1477010458900000	-12.5502	-8.38222	4.86226	3.61419	-0.39975	0	1.63765
1477010458950000	-12.7615	-8.45939	4.79505	3.57751	-0.429089	1	1.52718
1477010459000000	-13.0368	-8.55085	4.85743	3.53509	-0.457395	0	3.89678
1477010459050000	-13.2881	-8.64785	4.92488	3.51201	-0.450843	1	2.74763
1477010459100000	-13.5071	-8.69715	4.89194	3.47347	-0.475136	0	1.58553
1477010459150000	-13.7312	-8.72355	4.81153	3.41778	-0.533583	1	3.30776
1477010459200000	-13.9477	-8.85059	4.8206	3.42894	-0.4789	0	1.37706
1477010459250000	-14.1985	-8.94539	4.91579	3.42701	-0.429839	1	3.04009
1477010459300000	-14.4148	-9.07094	4.91146	3.44132	-0.378911	0	0.906794
1477010459350000	-14.6439	-9.14155	4.89011	3.42159	-0.383881	1	0.298297
1477010459400000	-14.9322	-9.13292	4.93737	3.35193	-0.454389	0	1.69979
1477010459450000	-15.1903	-9.20773	4.97181	3.34122	-0.43448	1	4.59802
1477010459500000	-15.4487	-9.33707	5.01089	3.36101	-0.374519	0	5.49723
1477010459550000	-15.693	-9.3618	4.95895	3.31773	-0.425651	1	2.12699
1477010459600000	-15.9467	-9.45501	4.98168	3.32294	-0.387471	0	2.17266
1477010459650000	-16.2	-9.45851	4.96121	3.27506	-0.438043	1	2.30341
1477010459700000	-16.4523	-9.44991	4.96557	3.23151	-0.468483	0	0.44809
1477010459750000	-16.6724	-9.44441	4.90884	3.19266	-0.50071	1	5.09039
1477010459800000	-16.9552	-9.42872	4.9602	3.14987	-0.523695	0	1.37577
1477010459850000	-17.2046	-9.49748	4.98403	3.16944	-0.445908	1	8.05283
1477010459900000	-17.4637	-9.51878	4.99798	3.15527	-0.43424	0	0.51336
1477010459950000	-17.7222	-9.50488	4.99363	3.11866	-0.465325	1	1.68557
1477010460000000	-17.9769	-9.47127	5.00446	3.08204	-0.483384	0	0.156547
1477010460050000	-18.2227	-9.42804	4.98532	3.03694	-0.525621	1	0.601243
1477010460100000	-18.4213	-9.4831	4.90173	3.0564	-0.466025	0	2.4383
1477010460150000	-18.657	-9.47379	4.90537	3.04847	-0.432472	1	1.71312
